0,Content,对华情感预测,私人情感预测
"Area,KeyWords,Name,Verified,Language,Content",areakeywordsnameverifiedlanguagecontent,1,0
" 军事,china cyber attack,jono,t,en,Breaking: Foreign Government (China) Hacked Trump and Vance's Phones in Massive Cyber Attack - Report via @WestJournalism", 军事china cyber attackjonotenbreaking foreign government china hacked trump and vances phones in massive cyber attack  report via westjournalism,1,2
" 军事,china cyber attack,Blutkanzlerin AngelaMerkel,f,en,German gov summons #China ambassador to complain about attack from 'state-controlled Chinese cyber criminals' #Germany #CCP", 军事china cyber attackblutkanzlerin angelamerkelfengerman gov summons china ambassador to complain about attack from statecontrolled chinese cyber criminals germany ccp,2,2
" 军事,china cyber attack,kaneichi ,f,en,Chances russia, china, and north korea commit a cyber attack to help trump win tomorrow?", 军事china cyber attackkaneichi fenchances russia china and north korea commit a cyber attack to help trump win tomorrow,1,1
" 军事,china cyber attack,Vishvaguru Citizen(Jeet's family),t,en,Imagine if war happens between India and China. India can't even stand in front of China's cyber warfare attack.", 军事china cyber attackvishvaguru citizenjeets familytenimagine if war happens between india and china india cant even stand in front of chinas cyber warfare attack,2,2
" 军事,china cyber attack,Steve,f,en,based off dis ratchet gas station shit goin on in FL, I can only jus imagine if China did a cyber attack on us. lmao cooked.", 军事china cyber attackstevefenbased off dis ratchet gas station shit goin on in fl i can only jus imagine if china did a cyber attack on us lmao cooked,2,2
" 军事,china cyber attack,Cheri,f,en,I wont be surprised if there's a Cyber Attack on our grid before election.  FYI our government will say it's """"Iran, Russia or China""""   And who believes our government???", 军事china cyber attackcherifeni wont be surprised if theres a cyber attack on our grid before election  fyi our government will say its iran russia or china   and who believes our government,0,0
" 军事,china cyber attack,abbbc,f,en,ＩＢＡis a Russian propaganda. The trans fake news is Russia China cyber attack to disrupt the Olympics", 军事china cyber attackabbbcfenｉｂａis a russian propaganda the trans fake news is russia china cyber attack to disrupt the olympics,1,1
" 军事,china cyber attack,Kathleen Szabo-Goss,t,en,Upgrade? Really?  Or a cyber attack? Can you say China?", 军事china cyber attackkathleen szabogosstenupgrade really  or a cyber attack can you say china,0,2
" 军事,china cyber attack,Patrick Chovanec,t,en,Just a tiny taste of the cyber attack that would kick off a war with China.", 军事china cyber attackpatrick chovanectenjust a tiny taste of the cyber attack that would kick off a war with china,0,0
" 军事,china cyber attack,Кришна Юшкевич ,f,en,Cirno, do you remember when they said a major cyber attack was coming it would be either NK/Russia or China? @cirnosad", 军事china cyber attackкришна юшкевич fencirno do you remember when they said a major cyber attack was coming it would be either nkrussia or china cirnosad,1,1
" 军事,china cyber attack,𝓚𝓲𝓻𝓼𝓽𝔂 ,t,en,Does anyone remember me saying months ago they are planning a cyber attack to blame Iran or China, they said both so I don’t know which one they will blame", 军事china cyber attack𝓚𝓲𝓻𝓼𝓽𝔂 tendoes anyone remember me saying months ago they are planning a cyber attack to blame iran or china they said both so i dont know which one they will blame,0,0
" 军事,china cyber attack,Johnny's changinit,f,en,Germany blames China for ‘serious’ cyber attack", 军事china cyber attackjohnnys changinitfengermany blames china for serious cyber attack,0,0
" 军事,china cyber attack,True Bullish,f,en,A Faulty Software Update Causes Widespread Disruptions Worldwide: Was It Really Just an Update Failure or a CHINESE CYBER ATTACK? | #cyberattack # China # Crowdfire https://shorturl.at/galpF", 军事china cyber attacktrue bullishfena faulty software update causes widespread disruptions worldwide was it really just an update failure or a chinese cyber attack  cyberattack  china  crowdfire httpsshorturlatgalpf,0,0
" 军事,china cyber attack,Unbowed Serf ,f,en,Get ready for the US to blame either Russia Iran  Or China  For this Cyber Attack  When it’s probably self inflicted https://x.com/MattDt9/status/MattDt9/status/1814272256110911952…", 军事china cyber attackunbowed serf fenget ready for the us to blame either russia iran  or china  for this cyber attack  when its probably self inflicted httpsxcommattdtstatusmattdtstatus,1,0
" 军事,china cyber attack,Bradley McCarrasco,t,en,The fact that planes were grounded for so long points more to a cyber attack rather than an outage. Probably China ", 军事china cyber attackbradley mccarrascotenthe fact that planes were grounded for so long points more to a cyber attack rather than an outage probably china ,2,2
" 军事,china cyber attack,mikeill303,f,en,I don't wish to start World War 3 but why does the West allow China and Russia to cyber attack them without ever fucking their shit up in return? I'm not aware of us ever retaliating and we should.", 军事china cyber attackmikeillfeni dont wish to start world war  but why does the west allow china and russia to cyber attack them without ever fucking their shit up in return im not aware of us ever retaliating and we should,2,2
